Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 7,7.09,19.57,2025-02-10,08:55:00,Dia,2025-02-10 08:55:00,Ninguno,0
Tanque 8,6.96,18.5,2025-02-10,09:00:00,Dia,2025-02-10 09:00:00,Ninguno,0
Tanque 10,7.06,18.99,2025-02-10,09:10:00,Dia,2025-02-10 09:10:00,Ninguno,0
Tanque 1,7.13,19.45,2025-02-10,15:00:00,Tarde,2025-02-10 15:00:00,Ninguno,0
Tanque 2,7.12,18.41,2025-02-10,15:05:00,Tarde,2025-02-10 15:05:00,Ninguno,0
Tanque 4,7.02,18.64,2025-02-10,15:15:00,Tarde,2025-02-10 15:15:00,Ninguno,0
Tanque 5,7.17,18.76,2025-02-10,15:20:00,Tarde,2025-02-10 15:20:00,Ninguno,0
Tanque 6,6.86,17.96,2025-02-10,15:25:00,Tarde,2025-02-10 15:25:00,Ninguno,0
Tanque 7,7.09,19.96,2025-02-10,15:30:00,Tarde,2025-02-10 15:30:00,Ninguno,0
Tanque 8,7.0,19.34,2025-02-10,15:35:00,Tarde,2025-02-10 15:35:00,Ninguno,0
Tanque 9,7.08,19.36,2025-02-10,15:40:00,Tarde,2025-02-10 15:40:00,Ninguno,0
Tanque 10,7.02,18.78,2025-02-10,15:45:00,Tarde,2025-02-10 15:45:00,Ninguno,0
Tanque 2,7.11,18.21,2025-02-11,08:30:00,Dia,2025-02-11 08:30:00,Ninguno,0
Tanque 3,6.99,18.4,2025-02-11,08:35:00,Dia,2025-02-11 08:35:00,Ninguno,0
Tanque 4,6.97,18.52,2025-02-11,08:40:00,Dia,2025-02-11 08:40:00,Ninguno,0
Tanque 5,6.96,19.04,2025-02-11,08:45:00,Dia,2025-02-11 08:45:00,Ninguno,0
Tanque 6,6.88,17.53,2025-02-11,08:50:00,Dia,2025-02-11 08:50:00,Ninguno,0
Tanque 7,6.97,19.01,2025-02-11,08:55:00,Dia,2025-02-11 08:55:00,Ninguno,0
Tanque 8,6.92,18.92,2025-02-11,09:00:00,Dia,2025-02-11 09:00:00,Ninguno,0
Tanque 9,6.96,18.61,2025-02-11,09:05:00,Dia,2025-02-11 09:05:00,Ninguno,0
Tanque 10,7.06,19.56,2025-02-11,09:10:00,Dia,2025-02-11 09:10:00,Ninguno,0
Tanque 1,6.8,19.49,2025-02-11,15:00:00,Tarde,2025-02-11 15:00:00,Ninguno,0
Tanque 2,7.02,18.98,2025-02-11,15:05:00,Tarde,2025-02-11 15:05:00,Ninguno,0
Tanque 3,7.0,19.24,2025-02-11,15:10:00,Tarde,2025-02-11 15:10:00,Ninguno,0
Tanque 4,6.92,18.99,2025-02-11,15:15:00,Tarde,2025-02-11 15:15:00,Ninguno,0
Tanque 5,7.0,19.65,2025-02-11,15:20:00,Tarde,2025-02-11 15:20:00,Ninguno,0
Tanque 6,6.77,18.07,2025-02-11,15:25:00,Tarde,2025-02-11 15:25:00,Ninguno,0
Tanque 7,6.99,19.47,2025-02-11,15:30:00,Tarde,2025-02-11 15:30:00,Ninguno,0
Tanque 8,6.87,18.94,2025-02-11,15:35:00,Tarde,2025-02-11 15:35:00,Ninguno,0
Tanque 9,6.98,18.96,2025-02-11,15:40:00,Tarde,2025-02-11 15:40:00,Ninguno,0
Tanque 10,6.98,19.54,2025-02-11,15:45:00,Tarde,2025-02-11 15:45:00,Ninguno,0
Tanque 1,6.86,19.52,2025-02-12,08:25:00,Dia,2025-02-12 08:25:00,Ninguno,0
Tanque 2,6.95,18.2,2025-02-12,08:30:00,Dia,2025-02-12 08:30:00,Ninguno,0
Tanque 3,7.13,18.86,2025-02-12,08:35:00,Dia,2025-02-12 08:35:00,Ninguno,0
Tanque 4,7.22,18.76,2025-02-12,08:40:00,Dia,2025-02-12 08:40:00,Ninguno,0
Tanque 6,6.9,18.19,2025-02-12,08:50:00,Dia,2025-02-12 08:50:00,Ninguno,0
Tanque 7,6.97,19.11,2025-02-12,08:55:00,Dia,2025-02-12 08:55:00,Ninguno,0
Tanque 8,6.91,18.89,2025-02-12,09:00:00,Dia,2025-02-12 09:00:00,Ninguno,0
Tanque 10,7.0,18.96,2025-02-12,09:10:00,Dia,2025-02-12 09:10:00,Ninguno,0
Tanque 1,6.85,20.12,2025-02-12,15:00:00,Tarde,2025-02-12 15:00:00,Ninguno,1
Tanque 2,6.99,19.17,2025-02-12,15:05:00,Tarde,2025-02-12 15:05:00,Ninguno,0
Tanque 3,7.1,19.19,2025-02-12,15:10:00,Tarde,2025-02-12 15:10:00,Ninguno,0
Tanque 4,6.99,18.99,2025-02-12,15:15:00,Tarde,2025-02-12 15:15:00,Ninguno,0
Tanque 5,6.93,19.02,2025-02-12,15:20:00,Tarde,2025-02-12 15:20:00,Ninguno,0
Tanque 6,6.88,18.75,2025-02-12,15:25:00,Tarde,2025-02-12 15:25:00,Ninguno,0
Tanque 7,6.93,19.64,2025-02-12,15:30:00,Tarde,2025-02-12 15:30:00,Ninguno,0
Tanque 8,6.86,19.5,2025-02-12,15:35:00,Tarde,2025-02-12 15:35:00,Ninguno,0
Tanque 9,6.99,19.18,2025-02-12,15:40:00,Tarde,2025-02-12 15:40:00,Ninguno,0
Tanque 10,6.93,19.09,2025-02-12,15:45:00,Tarde,2025-02-12 15:45:00,Ninguno,0
Tanque 1,7.01,20.25,2025-02-13,08:25:00,Dia,2025-02-13 08:25:00,Ninguno,1
Tanque 2,7.08,18.4,2025-02-13,08:30:00,Dia,2025-02-13 08:30:00,Ninguno,0
Tanque 3,7.01,18.96,2025-02-13,08:35:00,Dia,2025-02-13 08:35:00,Ninguno,0
Tanque 4,6.92,19.43,2025-02-13,08:40:00,Dia,2025-02-13 08:40:00,Ninguno,0
Tanque 5,7.14,19.9,2025-02-13,08:45:00,Dia,2025-02-13 08:45:00,Ninguno,0
Tanque 7,7.0,19.59,2025-02-13,08:55:00,Dia,2025-02-13 08:55:00,Ninguno,0
Tanque 8,6.88,19.1,2025-02-13,09:00:00,Dia,2025-02-13 09:00:00,Ninguno,0
Tanque 9,6.92,18.91,2025-02-13,09:05:00,Dia,2025-02-13 09:05:00,Ninguno,0
Tanque 10,7.01,18.71,2025-02-13,09:10:00,Dia,2025-02-13 09:10:00,Ninguno,0
Tanque 1,6.71,20.11,2025-02-13,15:00:00,Tarde,2025-02-13 15:00:00,Ninguno,1
Tanque 3,7.01,19.45,2025-02-13,15:10:00,Tarde,2025-02-13 15:10:00,Ninguno,0
Tanque 4,6.97,18.62,2025-02-13,15:15:00,Tarde,2025-02-13 15:15:00,Ninguno,0
Tanque 5,7.17,21.32,2025-02-13,15:20:00,Tarde,2025-02-13 15:20:00,Ninguno,1
